signature_symbol signature_score signature_direction
SH3BP1 -13.4095558669819 Dn
SLC8B1 -13.3784193736523 Dn
CLIP4 -13.3286715789823 Dn
TXNIP -13.3241946555116 Dn
C15orf48 -13.3235616671935 Dn
MYH15 -13.2347405979724 Dn
SPIN1 -13.2257015022095 Dn
CDC42EP2 -13.2133161514298 Dn
GATA3 -13.1995347603544 Dn
GADD45B -13.1631381231086 Dn
SUCO -13.1274017086276 Dn
BCAT1 -13.1237237319779 Dn
MT-TP -13.1046262287865 Dn
GALNT12 -13.0873555973326 Dn
CPNE2 -13.0497353427898 Dn
SPOCD1 -13.0054384375026 Dn
ZNF804A -12.9557347332698 Dn
LURAP1L -12.9074042125215 Dn
HIPK3 -12.900666359636 Dn
TMEM51 -12.8944174239405 Dn
PDE1C -12.8623935036543 Dn
UGCG -12.8345824787704 Dn
CALB2 -12.8333612400441 Dn
MYO5A -12.824263359035 Dn
PTGS2 -12.7653593898917 Dn
RUSC2 -12.750850909464 Dn
LINC00518 -12.6981841329067 Dn
NBPF1 -12.6941960933163 Dn
SEMA3A -12.6931584079155 Dn
CCDC86 -12.6677457729126 Dn
NTN4 -12.6664834014416 Dn
IFNLR1 -12.5866274263878 Dn
KLF6 -12.5840587022377 Dn
FUT3 -12.5488061333205 Dn
CMTM3 -12.5305294144988 Dn
DDAH1 -12.5270171711833 Dn
HMGA1 -12.5036731448303 Dn
ENPP4 -12.4998615811866 Dn
OSR2 -12.4793807454887 Dn
TNFRSF21 -12.4711844947838 Dn
HOXC13 -12.471092209873 Dn
ANO1 -12.4505011343556 Dn
COMMD9 -12.435643784406 Dn
PEA15 -12.4293141463582 Dn
MIRLET7BHG -12.427663818594 Dn
IL6ST -12.4190641374466 Dn
RIOK1 -12.4103886899505 Dn
IGSF3 -12.4042198977069 Dn
NRIP3 -12.39745143035 Dn
RGS10 -12.3666903888409 Dn
PRKAB2 -12.363991373543 Dn
TRMT2B -12.2829623855312 Dn
PARD3 -12.2788441895893 Dn
IL37 -12.2721692390724 Dn
ZNF335 -12.2448902446775 Dn
FER1L4 -12.2439245829662 Dn
NAV3 -12.2379739053634 Dn
EPHX4 -12.2376736208265 Dn
IL1R2 -12.2027522516183 Dn
TNK1 -12.1774164848888 Dn
OPTN -12.1721255532685 Dn
LRRN4 -12.123535571477 Dn
ZNF814 -12.1039245848701 Dn
OSR1 -12.0995042936278 Dn
LBHD1 -12.0771980623216 Dn
LINC00702 -12.0594847163195 Dn
USP31 -12.0310214755915 Dn
IKBKE -11.9987857907793 Dn
RRP36 -11.9709141384565 Dn
DPYSL3 -11.9295503414123 Dn
CCBE1 -11.9157324237804 Dn
FLNB -11.9144616609885 Dn
SSSCA1 -11.9075619440448 Dn
