signature_symbol signature_score signature_direction
ITGBL1 -10.4716793550231 Dn
TTLL7 -10.4583076345601 Dn
GCH1 -10.4357652554475 Dn
DTNA -10.415409001688 Dn
PABPC1 -10.3986719358093 Dn
CABYR -10.3430188112029 Dn
ASAP1 -10.3161500709129 Dn
PRDM1 -10.2988795899986 Dn
FMNL1 -10.2880005706352 Dn
ULBP3 -10.2657653715475 Dn
LCAT -10.2598883112141 Dn
SMAGP -10.2537500133998 Dn
WNT10A -10.2475000763081 Dn
EPHA2 -10.2191423865272 Dn
CCND1 -10.2115264029818 Dn
TRHDE -10.2063635082376 Dn
PRSS22 -10.1929747437951 Dn
FOSL1 -10.1866994889842 Dn
BAIAP2L1 -10.1518535648717 Dn
ITGA2 -10.1402205479564 Dn
CITED2 -10.1353271178775 Dn
ANTXR2 -10.067141249713 Dn
TMEM62 -10.0194869796332 Dn
DOCK4 -9.99453916625306 Dn
VEGFC -9.98601481276056 Dn
SH3RF1 -9.96554255145907 Dn
TSPAN5 -9.96324302327583 Dn
GAS6-AS2 -9.95922705443499 Dn
PRPSAP2 -9.95818427674688 Dn
C6orf132 -9.95767609805623 Dn
TNF -9.93855227758366 Dn
LAMB3 -9.86556058070762 Dn
MARCH4 -9.85421696027622 Dn
APOL2 -9.83224661312303 Dn
SYT14 -9.74666519165503 Dn
LIPG -9.74353681865154 Dn
GADD45B -9.72844634094393 Dn
SGPP2 -9.72646238544153 Dn
TNIP1 -9.67169428592502 Dn
FUT3 -9.66326206283152 Dn
RNU6-578P -9.66262125781681 Dn
L3HYPDH -9.6576579983358 Dn
MT-TF -9.65411639578212 Dn
OVOL1 -9.64880708684731 Dn
MITF -9.64302683589624 Dn
MICB -9.63619507742544 Dn
SMURF2 -9.60799546779229 Dn
TAGLN3 -9.59927957157214 Dn
SAA1 -9.5945484464635 Dn
RAB19 -9.58511223627886 Dn
PRKAB2 -9.57782806172525 Dn
MAP1B -9.54203859193402 Dn
LURAP1L-AS1 -9.53645163594037 Dn
SC5D -9.52564640374253 Dn
SEC24D -9.52178000155582 Dn
UGCG -9.51520570564434 Dn
SRSF5 -9.51122367530598 Dn
TRMT2B -9.50227683973704 Dn
SLC25A4 -9.46476031403071 Dn
FJX1 -9.45494569825373 Dn
MREG -9.4496150719854 Dn
IL4I1 -9.41106365123651 Dn
DOCK10 -9.3967574863724 Dn
EPB41L2 -9.38135069724497 Dn
PLAT -9.35486803242059 Dn
IKZF2 -9.3511050640924 Dn
BNC2 -9.34635303745409 Dn
NEXN -9.34450400057906 Dn
TINAGL1 -9.31685601402376 Dn
ANKRD13A -9.30563063948183 Dn
ANXA2 -9.2926914392247 Dn
SLC31A2 -9.27912411888733 Dn
SMURF1 -9.27149536698653 Dn
CLCN6 -9.26212157738864 Dn
BCL2L1 -9.24514743157422 Dn
TMEM158 -9.24211539648499 Dn
CHRNB1 -9.21593132111938 Dn
DYSF -9.20427813724162 Dn
ADM -9.19650160866003 Dn
PTPRG -9.19103132914205 Dn
NCEH1 -9.18832012561549 Dn
NRIP3 -9.18545661355578 Dn
COG5 -9.1566762914796 Dn
OSR2 -9.15591913655188 Dn
PLD6 -9.151604566087 Dn
PHLDB2 -9.14452645885644 Dn
MYO5C -9.14438499602678 Dn
FRMD5 -9.11718109173278 Dn
LINC00518 -9.07560908421519 Dn
C3orf52 -9.05966101598414 Dn
ME1 -9.04721410215028 Dn
PLA2G16 -9.01845504155165 Dn
SLC12A4 -9.00918024734261 Dn
ANXA3 -9.00096175742276 Dn
TMEM2 -8.99213390832739 Dn
TGFB1I1 -8.93759688231758 Dn
ERP27 -8.93339097559673 Dn
CDK6 -8.91243070205267 Dn
PLS3 -8.9101247372902 Dn
PLS1 -8.86961190471192 Dn
NEDD4 -8.86094977545859 Dn
DMTF1 -8.8515936953934 Dn
LIPH -8.80607575403324 Dn
BCAP29 -8.78026318561083 Dn
TACSTD2 -8.77469968615654 Dn
UCA1 -8.76018085920351 Dn
MT-TT -8.75947620599312 Dn
DHFR -8.75496305112027 Dn
PPP1R15A -8.74907566829534 Dn
PRR7-AS1 -8.7406043390998 Dn
B3GALNT1 -8.73526391101827 Dn
MOB3B -8.73289229916002 Dn
STAP2 -8.72254384189255 Dn
SLC41A1 -8.70060556465251 Dn
RBM28 -8.67911854593 Dn
ADRB2 -8.66594026086581 Dn
MYEF2 -8.65690747338582 Dn
LIMA1 -8.63521333959121 Dn
EGR1 -8.63339284399776 Dn
MYO1E -8.62172949739297 Dn
TMEM106A -8.6191001276939 Dn
ZNF620 -8.60481248989447 Dn
NUAK1 -8.59738247798979 Dn
CCDC14 -8.59217661035492 Dn
LACC1 -8.5710472171139 Dn
VEZT -8.5695011842008 Dn
MT-TL2 -8.54883066011177 Dn
PDZK1IP1 -8.54706302905076 Dn
BDKRB1 -8.53862286904666 Dn
FAM84B -8.53363510232937 Dn
TMEM132A -8.49895189905581 Dn
TGM2 -8.48425787915252 Dn
RNA5SP379 -8.47358161035051 Dn
MSMO1 -8.45506981051321 Dn
CCDC86 -8.44594033134926 Dn
TAGLN -8.43687787137548 Dn
RPL27 -8.43100221804495 Dn
ADAMTS9 -8.42929457972963 Dn
OPN3 -8.41304883991481 Dn
ACTB -8.38257802055135 Dn
NOG -8.37835939568654 Dn
UPK2 -8.3771899927387 Dn
ING3 -8.37710157986172 Dn
RPL35A -8.37423522531252 Dn
ST3GAL6-AS1 -8.35922449962755 Dn
PARP8 -8.35291379451216 Dn
GPR39 -8.33018923400024 Dn
ARAP2 -8.32881477728078 Dn
RPS28 -8.32566250154138 Dn
THBS1 -8.31696055802526 Dn
MIR3689D2 -8.31205725038789 Dn
CENPV -8.29479366980138 Dn
ADAMTS1 -8.27221354739584 Dn
ADRA1B -8.27107058957629 Dn
IKBKE -8.2684424119107 Dn
ZBED2 -8.25177627815147 Dn
SAMHD1 -8.24217206024941 Dn
GULP1 -8.23277836984964 Dn
CDR2 -8.20390623341263 Dn
GGT5 -8.20001304372684 Dn
MLLT11 -8.19965468696996 Dn
TGFB2 -8.18735158174489 Dn
RAB3IP -8.10530572244862 Dn
RPL37A -8.10488407522594 Dn
GSDMC -8.07749280400092 Dn
ZBTB2 -8.07528354551999 Dn
LIG4 -8.05079251269783 Dn
C7orf43 -8.01769006767129 Dn
STX3 -8.01413254590091 Dn
SMPDL3B -8.00916098398053 Dn
HAP1 -7.99919250937016 Dn
QSOX1 -7.99502632993419 Dn
CITED4 -7.99117445482131 Dn
ZNF416 -7.9863736380976 Dn
TAF1D -7.96740877166553 Dn
INSIG1 -7.94319344698394 Dn
SNHG1 -7.94015944765422 Dn
C10orf25 -7.93456488413526 Dn
HSD11B2 -7.93383221107485 Dn
PARD6B -7.91960552669247 Dn
ARTN -7.9186666248682 Dn
RPL34 -7.91490149737263 Dn
CTSS -7.89151146329268 Dn
EVI2B -7.88608487187825 Dn
PITX2 -7.88524539628199 Dn
TCP11L1 -7.88098222593927 Dn
TRIO -7.87778376481587 Dn
FXYD5 -7.85903827343411 Dn
CCDC84 -7.85290084094992 Dn
FAM101B -7.84949316690259 Dn
GPR180 -7.84510659008048 Dn
LGR4 -7.83360567829199 Dn
PSMB9 -7.79554528630848 Dn
HDAC9 -7.79201196813985 Dn
USP31 -7.78065154867365 Dn
PRSS8 -7.77576970066677 Dn
TSPAN14 -7.77343992237465 Dn
RPL37 -7.76915308823255 Dn
ZNF165 -7.76104019883886 Dn
IL1B -7.75565294498179 Dn
GCLM -7.74813248715778 Dn
ANXA9 -7.74754449314189 Dn
MMP7 27.5016529583224 Up
ST8SIA4 24.4049829860396 Up
PLA2G4A 23.8651227844222 Up
METTL7A 22.851874364447 Up
PDE3A 22.7512602465198 Up
SERPINB3 21.9651694157982 Up
SULF2 21.8545701272072 Up
