signature_symbol signature_score signature_direction
SEMA3F -8.64214488539048 dn
PARPBP -13.5415551327469 dn
TMPRSS4 -14.964636270674 dn
VGLL1 -17.8146406704634 dn
CEL -10.3396750522745 dn
NRN1 -6.95243709125201 dn
HIST1H3B -13.0000713258952 dn
LOC100133190 -15.3793594327623 dn
RPS14 -12.9596190457697 dn
TET1 -8.05511185521901 dn
PADI3 -16.8975400585792 dn
NHSL2 -11.4051527132103 dn
SPAG5 -16.8212424296012 dn
MND1 -7.91539562554867 dn
INO80C -6.59737566976977 dn
CELSR2 -12.8598237198582 dn
SCARA3 -9.0074109234428 dn
UBE2T -11.2472887655588 dn
TACC3 -13.1268415895383 dn
PSRC1 -11.134666861735 dn
SERPINE1 -9.38998298175637 dn
ARHGEF39 -12.6754248190489 dn
HIST1H3G -11.771748867668 dn
ANAPC15 -12.4914298305707 dn
VRK1 -10.202753248137 dn
RASGEF1B -13.1230405118091 dn
HFE -10.0029264153639 dn
MGC16121 -10.8052708619217 dn
HIST1H3I -9.1792204289686 dn
MPP1 -12.0802769382907 dn
PRAMEF3 -8.95062760026206 dn
GPX2 -10.7848258695049 dn
TDRD7 -9.25665347386918 dn
HIST1H4A -6.90375548915628 dn
SASH1 -9.35364938171172 dn
AKR1B10 -6.45712281805961 dn
MNS1 -8.94256228508329 dn
SEMA4A -11.5190662736489 dn
PCSK9 -6.32853867126941 dn
SFRP5 -8.28450236779763 dn
MYBL2 -11.8564924543854 dn
TAGLN3 -13.2548162498018 dn
EMP2 -11.533039821515 dn
TNFAIP8L1 -8.89932407863805 dn
TMPRSS11E -6.92233556687319 dn
VTRNA1-3 -6.26021711374126 dn
EFHD2 -14.2568199171794 dn
KRT14 -14.9850506038391 dn
SC5DL -6.24623333491706 dn
SEC16B -8.42977130184038 dn
GOLGA2P5 -8.81322111430874 dn
HIST4H4 -8.5547708650337 dn
KIF4B -10.5486384951648 dn
SDPR -11.167083693597 dn
HIST1H3J -10.586216681695 dn
HIST1H2AJ -11.691625452959 dn
SCARNA22 -7.82438017751429 dn
TUBD1 -7.52080844258885 dn
IL8 -14.5029693919844 dn
KRTAP2-3 -10.5274130026777 dn
HIST1H1B -8.3563745406146 dn
LOC100506100 -9.66306083712976 dn
FER1L4 -10.7563936629767 dn
APOO -5.96069946212063 dn
HIST1H2AI -10.008500631663 dn
BLMH -11.2667073020979 dn
HIST1H2BE -11.9290821674339 dn
PECR -11.202872080246 dn
CXCL2 -8.42921935769531 dn
LPAR6 -6.51826002446611 dn
AKR1C3 -11.7169531560086 dn
LOC100506253 -9.93065290392181 dn
LDHA -7.86398123967641 dn
FUS -11.6384893334998 dn
HIST1H2AM -10.0930808253668 dn
ALDOC -7.10129094477181 dn
POP1 -11.7714570342904 dn
LOC100216001 -8.11661133485439 dn
UPK3B -5.73768656173561 dn
KRT19 -9.65235337576187 dn
TUBB2A -6.17722085530505 dn
SGOL1 -5.521493699153 dn
RPL36AL -6.58172805158624 dn
VSNL1 -10.71208213622 dn
FASN -12.703852617162 dn
UBA7 -10.6370940638429 dn
EPN3 -8.96261402958193 dn
PROM2 -13.4709405167818 dn
ARHGDIB -8.9426686848416 dn
FAM64A -8.82094796290308 dn
IFIT1 -8.19188898090506 dn
TYMS -12.8422006620494 dn
SREBF1 -13.6080526363663 dn
PPP2R2B -8.56511320359771 dn
RPS29 -7.22848167062095 dn
TK1 -12.3440441738872 dn
NR4A1 -7.38040638161926 dn
HIST1H3A -6.06998307128307 dn
BDKRB2 -9.52598595973464 dn
GSDMC -6.89952138443592 dn
HIST1H2AK -9.10236592514446 dn
LOC154761 -5.94302972244853 dn
LOC100505991 -8.10661937110088 dn
EFNA1 -9.0184618074425 dn
KLK6 -5.57503580146284 dn
PLAT -8.57630606991493 dn
CXCL1 -6.53012903817421 dn
ANXA9 -6.21899848751921 dn
ZNF385A -9.34824918485993 dn
ANKRD2 -8.30751289054878 dn
LINC00052 -6.26357252187856 dn
MMP13 -11.3429402763065 dn
MAP1B 16.9847818589307 up
ALDH1L2 24.8524532702862 up
SLC7A11 15.8933070447883 up
CYP4V2 7.04983969937903 up
CBS 7.95880951595541 up
ALOX5AP 15.6865613635078 up
SERPINB2 19.7662479610074 up
SEL1L3 21.4632087335066 up
LOC100287314 10.9786994066836 up
MERTK 7.13670084328478 up
SLC22A15 13.0396410625949 up
SNORA2A 8.12276920454729 up
RPS6KA2 8.46913912299444 up
TMC4 7.30165033145742 up
PCK2 8.22626242471683 up
MGLL 11.9624299262378 up
SCN9A 11.5183278298665 up
ETV5 14.5472448881427 up
MIR181B1 6.80681037261592 up
ARHGEF2 14.2494497695183 up
MIR221 5.66793364043279 up
KCNG1 16.2020129301995 up
C12orf57 13.0566861261196 up
